city_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,east london,75,ZA,1578422377,94,-33.02,27.91,69.8,12.75
1,cape town,1,ZA,1578422172,78,-33.93,18.42,75.0,10.29
2,carnarvon,100,ZA,1578422377,75,-30.97,22.13,66.65,11.99
3,mount isa,97,AU,1578422377,62,-20.73,139.49,84.2,4.7
4,hobart,1,AU,1578422083,87,-42.88,147.33,57.99,4.47
5,arraial do cabo,20,BR,1578422377,70,-22.97,-42.02,95.0,12.75
6,rikitea,0,PF,1578422377,80,-23.12,-134.97,77.11,17.27
7,husavik,100,CA,1578422377,74,50.56,-96.99,1.0,8.01
8,port elizabeth,20,US,1578422377,39,39.31,-74.98,48.0,10.29
9,bluff,70,AU,1578422377,92,-23.58,149.07,68.83,7.18
10,barrow,0,AR,1578422377,20,-38.31,-60.23,86.77,13.71
11,madisonville,1,US,1578422374,36,37.33,-87.5,50.0,10.29
12,bredasdorp,67,ZA,1578422377,78,-34.53,20.04,75.0,5.82
13,dikson,100,RU,1578422377,96,73.51,80.55,4.14,7.34
14,port alfred,100,ZA,1578422377,96,-33.59,26.89,68.0,4.0
15,alta floresta,20,BR,1578422377,59,-9.87,-56.08,91.4,5.82
16,touros,38,BR,1578422377,58,-5.2,-35.46,87.8,18.34
17,dubovskoye,100,RU,1578422377,95,47.41,42.76,30.87,10.85
18,yaypan,100,UZ,1578422377,86,40.38,70.82,37.35,5.88
19,mataura,58,NZ,1578422377,85,-46.19,168.86,46.99,4.0
20,marquette,40,US,1578422377,54,46.54,-87.4,30.0,18.34
21,vardo,90,US,1578422377,67,39.62,-77.74,35.01,4.7
22,puerto ayora,40,EC,1578422377,55,-0.74,-90.35,86.0,6.93
23,jamestown,0,AU,1578422377,33,-33.21,138.6,70.74,14.79
24,moree,97,AU,1578422377,57,-29.46,149.84,75.2,10.29
25,atuona,62,PF,1578422377,72,-9.8,-139.03,81.05,12.33
26,goderich,100,CA,1578422377,76,43.74,-81.71,39.0,13.0
27,ushuaia,75,AR,1578422377,62,-54.81,-68.31,59.0,10.29
28,lorengau,100,PG,1578422377,77,-2.02,147.27,83.77,16.37
29,chuy,0,UY,1578422377,33,-33.69,-53.46,81.9,6.55
30,urusha,36,RU,1578422377,94,54.05,122.9,-11.58,2.08
31,punta arenas,20,CL,1578422377,44,-53.16,-70.91,60.8,9.17
32,upernavik,100,GL,1578422377,84,72.79,-56.15,-15.25,5.17
33,lebu,100,ET,1578422378,78,8.96,38.73,57.13,3.89
34,port augusta,0,AU,1578422378,73,-32.49,137.76,70.0,8.05
35,iskenderun,75,TR,1578422378,87,36.58,36.17,50.0,6.93
36,new norfolk,0,AU,1578422378,87,-42.78,147.06,57.0,2.08
37,sitka,0,US,1578422378,27,37.17,-99.65,53.01,8.01
38,nagorsk,99,RU,1578422378,97,59.32,50.8,10.29,6.26
39,khatanga,100,RU,1578422378,95,71.98,102.47,6.15,9.08
40,det udom,86,TH,1578422378,83,14.9,105.08,71.6,5.82
41,victoria,75,BN,1578422122,88,5.28,115.24,82.4,11.12
42,busselton,0,AU,1578422378,50,-33.64,115.35,64.99,6.89
43,polis,75,CY,1578422378,71,35.04,32.42,57.2,10.29
44,puerto del rosario,20,ES,1578422378,63,28.5,-13.86,66.2,9.17
45,lampa,81,CL,1578422378,28,-33.29,-70.87,87.01,11.41
46,torrelavega,18,ES,1578422378,81,43.35,-4.05,54.0,3.36
47,khargone,65,IN,1578422378,50,21.82,75.61,71.42,3.87
48,santa isabel,40,MX,1578422378,23,32.63,-115.58,62.6,4.7
49,bambous virieux,40,MU,1578422378,88,-20.34,57.76,80.6,4.05
50,tsiroanomandidy,100,MG,1578422378,88,-18.77,46.05,72.46,1.66
51,vaini,12,IN,1578422378,88,15.34,74.49,67.06,1.52
52,bellevue,90,DE,1578422378,100,50.05,10.19,39.99,5.28
53,ohara,100,JP,1578422378,96,35.12,135.83,48.99,3.71
54,luderitz,50,NA,1578422378,82,-26.65,15.16,66.2,17.22
55,tasiilaq,100,GL,1578422378,89,65.61,-37.64,12.22,21.34
56,qaqortoq,75,GL,1578422379,46,60.72,-46.03,8.6,1.12
57,castro,90,CL,1578422379,93,-42.48,-73.76,55.4,14.99
58,klaksvik,93,FO,1578422379,75,62.23,-6.59,42.8,24.16
59,ust-tsilma,73,RU,1578422379,96,65.44,52.15,7.99,4.36
60,kloulklubed,100,PW,1578422379,80,7.04,134.26,81.93,15.82
61,albany,90,US,1578422369,41,42.65,-73.75,39.2,6.93
62,necochea,0,AR,1578422379,40,-38.55,-58.74,82.0,8.01
63,zyryanka,0,RU,1578422379,87,65.73,150.89,-21.53,4.25
64,akureyri,90,IS,1578422379,92,65.68,-18.09,30.2,18.34
65,popesti,21,RO,1578422379,85,47.23,22.42,26.6,3.36
66,abu dhabi,0,AE,1578422167,68,24.47,54.37,68.0,12.44
67,ponta do sol,31,BR,1578422379,60,-20.63,-46.0,84.04,4.07
68,chernyshevskiy,100,RU,1578422379,94,63.01,112.47,9.63,7.96
69,dandong,100,CN,1578422379,65,40.12,124.37,24.84,21.41
